,,,,,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,,,,,
,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,129.03,9.28, 	170.72 ,12.08, 	15.98 ,NA,,NA,,,1.01,1.47,9.59%,8.94%,0.65%,,,,
1875.07,4.39,0.31,0.40,11.13,1875.54,4.83,129.32,9.21, 	172.13 ,11.83, 	15.75 ,NA,,NA,,,1.01,1.48,9.83%,8.77%,1.05%,,,,
1875.08,4.41,0.31,0.39,11.23,1875.62,4.79,128.81,9.05, 	172.45 ,11.49, 	15.38 ,NA,,NA,,,1.01,1.48,10.46%,8.83%,1.63%,,,,
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,128.73,9.06, 	173.36 ,11.34, 	15.27 ,NA,,NA,,,1.01,1.50,10.44%,8.83%,1.61%,,,,
1875.1,4.30,0.31,0.38,11.13,1875.79,4.71,126.67,8.98, 	171.59 ,11.10, 	15.03 ,NA,,NA,,,1.01,1.51,11.23%,8.80%,2.43%,,,,
1875.11,4.37,0.30,0.37,11.04,1875.87,4.67,129.84,8.99, 	176.90 ,10.94, 	14.91 ,NA,,NA,,,1.01,1.53,11.50%,8.54%,2.96%,,,,
1875.12,4.37,0.30,0.36,10.94,1875.96,4.63,130.97,8.99, 	179.46 ,10.79, 	14.78 ,NA,,NA,,,1.01,1.56,11.04%,8.16%,2.88%,,,,
1876.01,4.46,0.30,0.35,10.85,1876.04,4.59,134.84,9.07, 	185.80 ,10.68, 	14.72 ,NA,,NA,,,1.00,1.58,10.95%,8.28%,2.67%,,,,
1876.02,4.52,0.30,0.35,10.85,1876.12,4.58,136.66,9.07, 	189.34 ,10.48, 	14.52 ,NA,,NA,,,1.00,1.59,11.00%,8.25%,2.75%,,,,
1876.03,4.51,0.30,0.34,10.85,1876.21,4.57,136.36,9.07, 	189.97 ,10.28, 	14.32 ,NA,,NA,,,1.00,1.60,10.90%,8.35%,2.55%,,,,
1876.04,4.34,0.30,0.33,10.75,1876.29,4.56,132.38,9.15, 	185.49 ,10.17, 	14.24 ,NA,,NA,,,1.00,1.62,11.19%,8.35%,2.84%,,,,
1876.05,4.18,0.30,0.33,10.37,1876.37,4.54,132.17,9.49, 	186.31 ,10.33, 	14.56 ,NA,,NA,,,1.00,1.69,11.24%,8.20%,3.04%,,,,
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,134.94,9.75, 	191.36 ,10.41, 	14.76 ,NA,,NA,,,1.00,1.74,11.62%,8.00%,3.62%,,,,
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,133.31,9.75, 	190.21 ,10.19, 	14.53 ,NA,,NA,,,1.00,1.75,11.76%,7.83%,3.93%,,,,
1876.08,3.93,0.30,0.31,10.18,1876.62,4.51,126.59,9.66, 	181.76 ,9.88, 	14.18 ,NA,,NA,,,1.00,1.74,12.25%,7.77%,4.48%,,,,
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,117.76,9.57, 	170.23 ,9.57, 	13.84 ,NA,,NA,,,1.00,1.74,13.32%,7.84%,5.48%,,,,
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,114.99,9.40, 	167.36 ,9.19, 	13.38 ,NA,,NA,,,1.00,1.71,13.84%,8.01%,5.83%,,,,
1876.11,3.60,0.30,0.29,10.56,1876.87,4.47,111.78,9.32, 	163.82 ,8.90, 	13.05 ,NA,,NA,,,1.00,1.71,14.39%,8.07%,6.32%,,,,
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,109.19,9.15, 	161.14 ,8.54, 	12.60 ,NA,,NA,,,1.00,1.68,14.18%,8.10%,6.08%,,,,
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,106.40,8.72, 	158.09 ,8.44, 	12.54 ,NA,,NA,,,1.00,1.66,14.04%,8.00%,6.04%,,,,
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,102.78,8.67, 	153.79 ,8.72, 	13.04 ,NA,,NA,,,1.00,1.71,14.18%,7.56%,6.61%,,,,
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,102.11,8.78, 	153.88 ,9.18, 	13.83 ,NA,,NA,,,1.00,1.80,14.47%,7.05%,7.43%,,,,
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,92.12,8.25, 	139.86 ,8.98, 	13.64 ,NA,,NA,,,1.00,1.76,15.87%,7.32%,8.56%,,,,
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,90.47,7.82, 	138.35 ,8.87, 	13.57 ,NA,,NA,,,1.00,1.74,16.23%,7.48%,8.75%,,,,
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,88.77,7.97, 	136.75 ,9.43, 	14.53 ,NA,,NA,,,1.00,1.84,16.21%,6.99%,9.21%,,,,
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,91.80,7.60, 	142.41 ,9.40, 	14.58 ,NA,,NA,,,1.00,1.83,15.63%,7.20%,8.43%,,,,
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,102.06,7.59, 	159.30 ,9.81, 	15.32 ,NA,,NA,,,1.00,1.91,13.96%,6.63%,7.32%,,,,
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,109.48,7.35, 	171.84 ,9.97, 	15.65 ,NA,,NA,,,1.00,1.94,13.13%,6.63%,6.50%,,,,
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,111.85,7.04, 	176.47 ,10.03, 	15.82 ,NA,,NA,,,1.00,1.95,12.35%,6.48%,5.87%,,,,
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,112.36,6.87, 	178.18 ,10.28, 	16.30 ,NA,,NA,,,1.00,2.00,12.37%,6.12%,6.25%,,,,
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,112.02,6.55, 	178.50 ,10.34, 	16.48 ,NA,,NA,,,1.00,2.00,12.07%,5.85%,6.22%,,,,
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,115.48,6.72, 	184.92 ,10.69, 	17.11 ,NA,,NA,,,1.00,2.08,11.67%,5.38%,6.30%,,,,
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,114.17,6.76, 	183.72 ,10.83, 	17.43 ,NA,,NA,,,1.00,2.11,11.85%,5.39%,6.46%,,,,
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,118.80,6.88, 	192.09 ,11.09, 	17.93 ,NA,,NA,,,1.00,2.16,10.97%,5.17%,5.80%,,,,
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,123.41,6.92, 	200.48 ,11.24, 	18.26 ,NA,,NA,,,1.00,2.19,10.71%,5.18%,5.53%,,,,
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,127.91,7.12, 	208.75 ,11.65, 	19.01 ,NA,,NA,,,1.00,2.28,10.59%,4.96%,5.63%,,,,
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,133.56,7.25, 	218.95 ,11.95, 	19.58 ,NA,,NA,,,1.00,2.34,9.89%,4.85%,5.04%,,,,
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,134.77,7.13, 	221.91 ,11.84, 	19.50 ,NA,,NA,,,1.00,2.32,9.94%,4.85%,5.09%,,,,
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,132.12,7.02, 	218.52 ,11.75, 	19.43 ,NA,,NA,,,1.00,2.31,10.38%,4.97%,5.42%,,,,
